ID,Data,Categoria,Item,Qtd,Unitário,Total,Especificação
1,11/02/2026,🛠️ MANUTENCAO,SSD 500GB,20,0.0,0.0,SSD NVMe M.2 500GB alta performance.
2,11/02/2026,🌐 REDES,Switch 24p,1,0.0,0.0,Switch Gigabit Rack 19 polegadas.
3,11/02/2026,🛠️ MANUTENÇÃO E LABORATÓRIO,Multímetro Digital True RMS,1,0.0,0.0,"Auto-range, medição de capacitância e temperatura."
4,11/02/2026,ELÉTRICA,Filtro de linha  ,1,0.0,0.0,Proteção do equipamentos.
5,11/02/2026,HARDWARE,Fonte de Alimentação ,1,0.0,0.0,500 Wats 80 plus
